eps_e,s_e,fitness,ghosts,gaps,darks,multiples
422.8393,1.9720,1.0000,0,53,116,64
433.0616,1.9720,1.0000,0,53,116,64
443.5310,1.9720,1.0000,0,53,116,64
454.2536,1.9720,1.0000,0,53,116,64
465.2353,1.9720,1.0000,0,53,116,64
476.4826,1.9720,1.0000,0,53,116,64
488.0017,1.9720,1.0000,0,53,116,64
499.7993,1.9720,1.0000,0,53,116,64
511.8822,1.9720,1.0000,0,53,116,64
524.2571,1.9720,1.0000,0,53,116,64
536.9313,1.9720,1.0000,0,53,116,64
549.9118,1.9720,1.0000,0,53,116,64
563.2061,1.9720,1.0000,0,53,116,64
576.8218,1.9720,1.0000,0,53,116,64
590.7667,1.9720,1.0000,0,53,116,64
605.0487,1.9720,1.0000,0,53,116,64
619.6760,1.9720,1.0000,0,53,116,64
634.6569,1.9720,1.0000,0,53,116,64
650.0000,1.9720,1.0000,0,53,116,64
250.0000,1.9740,1.0000,0,53,116,64
256.0438,1.9740,1.0000,0,53,116,64
262.2338,1.9740,1.0000,0,53,116,64
268.5734,1.9740,1.0000,0,53,116,64
275.0663,1.9740,1.0000,0,53,116,64
281.7161,1.9740,1.0000,0,53,116,64
288.5267,1.9740,1.0000,0,53,116,64
295.5019,1.9740,1.0000,0,53,116,64
302.6458,1.9740,1.0000,0,53,116,64
309.9624,1.9740,1.0000,0,53,116,64
317.4559,1.9740,1.0000,0,53,116,64
325.1305,1.9740,1.0000,0,53,116,64
332.9906,1.9740,1.0000,0,53,116,64
341.0408,1.9740,1.0000,0,53,116,64
349.2856,1.9740,1.0000,0,53,116,64
357.7297,1.9740,1.0000,0,53,116,64
366.3780,1.9740,1.0000,0,53,116,64
375.2353,1.9740,1.0000,0,53,116,64
384.3068,1.9740,1.0000,0,53,116,64
393.5975,1.9740,1.0000,0,53,116,64
403.1129,1.9740,1.0000,0,53,116,64
412.8583,1.9740,1.0000,0,53,116,64
422.8393,1.9740,1.0000,0,53,116,64
433.0616,1.9740,1.0000,0,53,116,64
443.5310,1.9740,1.0000,0,53,116,64
454.2536,1.9740,1.0000,0,53,116,64
465.2353,1.9740,1.0000,0,53,116,64
476.4826,1.9740,1.0000,0,53,116,64
488.0017,1.9740,1.0000,0,53,116,64
499.7993,1.9740,1.0000,0,53,116,64
511.8822,1.9740,1.0000,0,53,116,64
524.2571,1.9740,1.0000,0,53,116,64
536.9313,1.9740,1.0000,0,53,116,64
549.9118,1.9740,1.0000,0,53,116,64
563.2061,1.9740,1.0000,0,53,116,64
576.8218,1.9740,1.0000,0,53,116,64
590.7667,1.9740,1.0000,0,53,116,64
605.0487,1.9740,1.0000,0,53,116,64
619.6760,1.9740,1.0000,0,53,116,64
634.6569,1.9740,1.0000,0,53,116,64
650.0000,1.9740,1.0000,0,53,116,64
250.0000,1.9760,1.9315,0,52,116,64
256.0438,1.9760,1.9630,0,52,116,64
262.2338,1.9760,1.9931,0,52,116,64
268.5734,1.9760,1.9781,0,52,116,64
275.0663,1.9760,1.9507,0,52,116,64
281.7161,1.9760,1.9245,0,51,116,64
288.5267,1.9760,1.8994,0,51,116,64
295.5019,1.9760,1.8756,0,51,116,64
302.6458,1.9760,1.8527,0,51,116,64
309.9624,1.9760,1.8310,0,51,116,64
317.4559,1.9760,1.8102,0,51,116,64
325.1305,1.9760,1.7904,0,51,116,64
332.9906,1.9760,1.7714,0,51,116,64
341.0408,1.9760,1.7666,0,51,116,64
349.2856,1.9760,1.7837,0,51,116,64
357.7297,1.9760,1.8000,0,51,116,64
366.3780,1.9760,1.8155,0,51,116,64
375.2353,1.9760,1.8304,0,51,116,64
384.3068,1.9760,1.8445,0,51,116,64
393.5975,1.9760,1.8580,0,51,116,64
403.1129,1.9760,1.8709,0,51,116,64
412.8583,1.9760,1.8832,0,51,116,64
422.8393,1.9760,1.8950,0,51,116,64
433.0616,1.9760,1.9062,0,51,116,64
443.5310,1.9760,1.9168,0,51,116,64
454.2536,1.9760,1.9270,0,51,116,64
465.2353,1.9760,1.9368,0,51,116,64
476.4826,1.9760,1.9460,0,51,116,64
488.0017,1.9760,1.9549,0,51,116,64
499.7993,1.9760,1.9633,0,51,116,64
511.8822,1.9760,1.9713,0,51,116,64
524.2571,1.9760,1.9790,0,51,116,64
536.9313,1.9760,1.9863,0,51,116,64
549.9118,1.9760,1.9933,0,51,116,64
563.2061,1.9760,2.0000,0,51,116,64
576.8218,1.9760,1.9937,0,51,116,64
590.7667,1.9760,1.9876,0,51,116,64
605.0487,1.9760,1.9818,0,51,116,64
619.6760,1.9760,1.9763,0,51,116,64
634.6569,1.9760,1.9711,0,51,116,64
650.0000,1.9760,1.9661,0,51,116,64
250.0000,1.9780,1.0000,0,55,116,64
256.0438,1.9780,1.0000,0,56,116,64
262.2338,1.9780,1.0000,0,56,116,64
268.5734,1.9780,1.0000,0,56,116,64
275.0663,1.9780,1.0000,0,57,116,64
281.7161,1.9780,1.0000,0,57,116,64
288.5267,1.9780,1.0000,0,57,116,64
295.5019,1.9780,1.0000,0,57,116,64
302.6458,1.9780,1.0000,0,57,116,64
309.9624,1.9780,1.0000,0,57,116,64
317.4559,1.9780,1.0000,0,57,116,64
325.1305,1.9780,1.0000,0,57,116,64
332.9906,1.9780,1.0000,0,57,116,64
341.0408,1.9780,1.0000,0,56,116,64
349.2856,1.9780,1.0000,0,56,116,64
357.7297,1.9780,1.0000,0,56,116,64
366.3780,1.9780,1.0000,0,56,116,64
375.2353,1.9780,1.0000,0,56,116,64
384.3068,1.9780,1.0000,0,55,116,64
393.5975,1.9780,1.0000,0,55,116,64
403.1129,1.9780,1.0000,0,55,116,64
412.8583,1.9780,1.0000,0,55,116,64
422.8393,1.9780,1.0000,0,55,116,64
433.0616,1.9780,1.0000,0,55,116,64
443.5310,1.9780,1.0000,0,55,116,64
454.2536,1.9780,1.0000,0,55,116,64
465.2353,1.9780,1.0000,0,55,116,64
