sheet,eps,s,fitness
p,0.480000,0.280000,7.9419
p,0.500000,0.280000,9.4361
p,0.520000,0.280000,11.0210
p,0.540000,0.280000,8.3269
p,0.550000,0.280000,7.7234
p,0.560000,0.280000,7.5273
p,0.580000,0.280000,7.5491
p,0.600000,0.280000,7.8717
p,0.620000,0.280000,7.1585
p,0.640000,0.280000,7.8087
p,0.660000,0.280000,7.3373
p,0.680000,0.280000,7.3256
p,0.700000,0.280000,7.6371
p,0.720000,0.280000,7.1071
p,0.730000,0.280000,6.8827
p,0.740000,0.280000,6.8875
p,0.760000,0.280000,6.9831
p,0.780000,0.280000,7.0753
p,0.800000,0.280000,7.1661
p,0.800000,0.280000,7.1661
p,0.820000,0.280000,7.3126
p,0.840000,0.280000,7.4537
p,0.860000,0.280000,7.3842
p,0.880000,0.280000,7.2700
p,0.890000,0.280000,7.2145
p,0.900000,0.280000,7.1601
p,0.920000,0.280000,7.0483
p,0.940000,0.280000,6.9317
p,0.960000,0.280000,6.8194
p,0.980000,0.280000,6.7113
p,1.000000,0.280000,6.6073
p,1.020000,0.280000,6.5071
p,1.040000,0.280000,6.4644
p,1.060000,0.280000,6.4584
p,1.080000,0.280000,6.4527
p,1.100000,0.280000,6.4472
p,1.120000,0.280000,6.4420
p,1.140000,0.280000,6.4368
p,1.160000,0.280000,6.4319
p,1.180000,0.280000,6.4272
p,1.200000,0.280000,6.4226
p,0.400000,0.300000,6.4719
p,0.420000,0.300000,6.5042
p,0.440000,0.300000,6.6323
p,0.460000,0.300000,7.0769
p,0.480000,0.300000,8.0686
p,0.500000,0.300000,9.7621
p,0.520000,0.300000,10.4790
p,0.540000,0.300000,7.8582
p,0.550000,0.300000,7.6053
