eps_e,s_e,fitness,n_ghosts,n_sub_electron
563.2061,1.9740,1.0000,8,1
576.8218,1.9740,1.0000,8,1
590.7667,1.9740,1.0000,8,1
605.0487,1.9740,1.0000,8,0
619.6760,1.9740,1.0000,8,0
634.6569,1.9740,1.0000,8,1
650.0000,1.9740,1.0000,8,1
250.0000,1.9760,1.9315,8,0
256.0438,1.9760,1.9630,8,1
262.2338,1.9760,1.9931,8,0
268.5734,1.9760,1.9781,8,0
275.0663,1.9760,1.9507,8,0
281.7161,1.9760,1.9245,8,0
288.5267,1.9760,1.8994,8,0
295.5019,1.9760,1.8756,8,0
302.6458,1.9760,1.8527,8,1
309.9624,1.9760,1.8310,8,0
317.4559,1.9760,1.8102,8,0
325.1305,1.9760,1.7904,8,1
332.9906,1.9760,1.7714,8,0
341.0408,1.9760,1.7666,8,0
349.2856,1.9760,1.7837,8,0
357.7297,1.9760,1.8000,8,0
366.3780,1.9760,1.8155,8,0
375.2353,1.9760,1.8304,8,0
384.3068,1.9760,1.8445,8,1
393.5975,1.9760,1.8580,8,0
403.1129,1.9760,1.8709,8,1
412.8583,1.9760,1.8832,8,0
422.8393,1.9760,1.8950,8,0
433.0616,1.9760,1.9062,8,0
443.5310,1.9760,1.9168,8,1
454.2536,1.9760,1.9270,8,1
465.2353,1.9760,1.9368,8,1
476.4826,1.9760,1.9460,8,1
488.0017,1.9760,1.9549,8,1
499.7993,1.9760,1.9633,8,0
511.8822,1.9760,1.9713,8,0
524.2571,1.9760,1.9790,8,1
536.9313,1.9760,1.9863,8,1
549.9118,1.9760,1.9933,8,0
563.2061,1.9760,2.0000,8,1
576.8218,1.9760,1.9937,8,0
590.7667,1.9760,1.9876,8,1
605.0487,1.9760,1.9818,8,0
619.6760,1.9760,1.9763,8,1
634.6569,1.9760,1.9711,8,1
650.0000,1.9760,1.9661,8,1
250.0000,1.9780,1.0000,8,0
256.0438,1.9780,1.0000,8,1
262.2338,1.9780,1.0000,8,0
268.5734,1.9780,1.0000,8,1
275.0663,1.9780,1.0000,8,0
281.7161,1.9780,1.0000,8,0
288.5267,1.9780,1.0000,8,1
295.5019,1.9780,1.0000,8,1
302.6458,1.9780,1.0000,8,1
309.9624,1.9780,1.0000,8,1
317.4559,1.9780,1.0000,8,1
325.1305,1.9780,1.0000,8,0
332.9906,1.9780,1.0000,8,1
341.0408,1.9780,1.0000,8,0
349.2856,1.9780,1.0000,8,1
357.7297,1.9780,1.0000,8,0
366.3780,1.9780,1.0000,8,1
375.2353,1.9780,1.0000,8,1
384.3068,1.9780,1.0000,8,0
393.5975,1.9780,1.0000,8,1
403.1129,1.9780,1.0000,8,0
412.8583,1.9780,1.0000,8,1
422.8393,1.9780,1.0000,8,0
433.0616,1.9780,1.0000,8,1
443.5310,1.9780,1.0000,8,0
454.2536,1.9780,1.0000,8,0
465.2353,1.9780,1.0000,8,1
476.4826,1.9780,1.0000,8,0
488.0017,1.9780,1.0000,8,1
499.7993,1.9780,1.0000,8,1
511.8822,1.9780,1.0000,8,1
