rank,eps_e,s_e,fitness,mode,primitive,k,mass_MeV,category
3,366.3780,2.0040,2.396,"(-4,-15)","(-4,-15)",1,736.980,dark-massive
3,366.3780,2.0040,2.396,"(-3,-13)","(-3,-13)",1,737.402,dark-massive
3,366.3780,2.0040,2.396,"(-2,-11)","(-2,-11)",1,737.824,dark-massive
3,366.3780,2.0040,2.396,"(+0,-7)","(+0,-1)",7,738.668,ring-only
3,366.3780,2.0040,2.396,"(-2,+3)","(-2,+3)",1,739.512,dark-massive
3,366.3780,2.0040,2.396,"(-3,+1)","(-3,+1)",1,739.934,dark-massive
3,366.3780,2.0040,2.396,"(-4,-1)","(-4,-1)",1,740.357,dark-massive
3,366.3780,2.0040,2.396,"(-3,-14)","(-3,-14)",1,842.926,dark-massive
3,366.3780,2.0040,2.396,"(+0,-8)","(+0,-1)",8,844.191,ring-only
3,366.3780,2.0040,2.396,"(-3,+2)","(-3,+2)",1,845.458,dark-massive
3,366.3780,2.0040,2.396,"(-4,+0)","(-1,+0)",4,845.881,tube-only
3,366.3780,2.0040,2.396,"(-4,-17)","(-4,-17)",1,948.028,dark-massive
3,366.3780,2.0040,2.396,"(-2,-13)","(-2,-13)",1,948.871,dark-massive
3,366.3780,2.0040,2.396,"(+0,-9)","(+0,-1)",9,949.715,ring-only
3,366.3780,2.0040,2.396,"(-2,+5)","(-2,+5)",1,950.560,dark-massive
3,366.3780,2.0040,2.396,"(-4,+1)","(-4,+1)",1,951.404,dark-massive
3,366.3780,2.0040,2.396,"(-4,-18)","(-2,-9)",2,1053.552,dark-massive
3,366.3780,2.0040,2.396,"(-3,-16)","(-3,-16)",1,1053.973,dark-massive
3,366.3780,2.0040,2.396,"(+0,-10)","(+0,-1)",10,1055.239,ring-only
3,366.3780,2.0040,2.396,"(-3,+4)","(-3,+4)",1,1056.506,dark-massive
3,366.3780,2.0040,2.396,"(-4,+2)","(-2,+1)",2,1056.928,dark-massive
3,366.3780,2.0040,2.396,"(-4,-19)","(-4,-19)",1,1159.075,dark-massive
3,366.3780,2.0040,2.396,"(-3,-17)","(-3,-17)",1,1159.497,dark-massive
3,366.3780,2.0040,2.396,"(-2,-15)","(-2,-15)",1,1159.919,dark-massive
3,366.3780,2.0040,2.396,"(+0,-11)","(+0,-1)",11,1160.763,ring-only
3,366.3780,2.0040,2.396,"(-2,+7)","(-2,+7)",1,1161.608,dark-massive
3,366.3780,2.0040,2.396,"(-3,+5)","(-3,+5)",1,1162.030,dark-massive
3,366.3780,2.0040,2.396,"(-4,+3)","(-4,+3)",1,1162.452,dark-massive
3,366.3780,2.0040,2.396,"(+0,-12)","(+0,-1)",12,1266.287,ring-only
3,366.3780,2.0040,2.396,"(-4,-21)","(-4,-21)",1,1370.123,dark-massive
3,366.3780,2.0040,2.396,"(-3,-19)","(-3,-19)",1,1370.545,dark-massive
3,366.3780,2.0040,2.396,"(-2,-17)","(-2,-17)",1,1370.967,dark-massive
3,366.3780,2.0040,2.396,"(+0,-13)","(+0,-1)",13,1371.811,ring-only
3,366.3780,2.0040,2.396,"(-2,+9)","(-2,+9)",1,1372.655,dark-massive
3,366.3780,2.0040,2.396,"(-3,+7)","(-3,+7)",1,1373.078,dark-massive
