name,Z,A,m_obs,m_Ma,E_Coul,E_Surf,m_total,B_obs,B_pred,ratio,B_per_A_obs,B_per_A_pred,rel_err
56Fe,26,56,52089.77733793319,51514.9359107059,120.62639894111439,268.4466668872851,51904.0089765343,492.2595698268051,678.0279312256971,1.3773788724193865,8.790349461192948,12.107641629030306,0.3773788724193866
59Co,27,59,54882.12594625702,54275.27506171345,128.02991494360174,277.95042286399763,54681.255399521055,517.3138907029715,718.1844374389402,1.3882952890806937,8.768032045813078,12.172617583710851,0.3882952890806936
60Ni,28,60,55810.86563001581,55194.356009382194,137.1080836438545,281.08229980195523,55612.54639282801,526.8462951041874,725.1655322919905,1.3764271269072588,8.780771585069791,12.086092204866508,0.37642712690725877
63Cu,29,63,58603.73017429308,57954.68938418029,144.8885929199266,290.3753174764822,58389.95329457669,551.3846800269166,765.1615597433047,1.3877091392999026,8.752137778205025,12.145421583227058,0.38770913929990264
64Zn,30,64,59534.28878658566,58873.77785876357,154.425,293.43999999999994,59321.642858763575,559.0981558943386,771.7440837164249,1.3803373800829946,8.73590868584904,12.05850130806914,0.38033738008299456
70Ge,32,70,65117.673360374065,64394.44752606135,170.8981419055646,311.50476286114804,64876.85043082806,610.5194405059374,851.3423700519415,1.3944557921799088,8.721706292941963,12.162033857884879,0.39445579217990867
75As,33,75,69772.1605205073,68996.1423915367,177.78775493163133,326.1671160217387,69500.09726249008,652.5660506127024,924.6293086299265,1.416912981853378,8.700880674836032,12.328390781732354,0.416912981853378
80Se,34,80,74424.39477831936,73597.95068738348,184.87912483163063,340.50695683383344,74123.33676904894,696.8655630406429,997.9235723110614,1.4320173434267696,8.710819538008035,12.474044653888267,0.43201734342676956
84Kr,36,84,78144.66929852421,77277.32177214633,204.2690010992624,351.7646460244575,77833.35541927005,732.2660601957905,1043.5799394499481,1.425137659897715,8.717453097568935,12.423570707737477,0.42513765989771496
88Sr,38,88,81864.14142970924,80956.69858532694,224.43096595897492,362.84497483672465,81543.97452612265,768.4689463707618,1088.6358499573544,1.4166295919941079,8.732601663304111,12.370861931333572,0.41662959199410793
89Y,39,89,82795.33695109436,81875.69148880352,235.6730289128052,365.588620415137,82476.95313813146,775.5455131456401,1093.9293261085404,1.410528856870726,8.713994529726294,12.291340742792588,0.41052885687072604
90Zr,40,90,83725.26134631237,82794.70525219377,247.154645170337,368.3220091352096,83410.18190649932,783.893206087625,1098.972645900678,1.4019417917723767,8.709924512084722,12.210807176674198,0.4019417917723766
93Nb,41,93,86520.79241355207,85555.08259873373,257.00478776402974,376.46213166101364,86188.54951815878,805.7650680479273,1138.007963441225,1.4123322151433049,8.66414051664438,12.236644768185215,0.41233221514330487
98Mo,42,98,91176.84522897264,90156.8754008374,265.18531491390166,389.8372922093975,90811.8980079607,846.246022867359,1211.193243879301,1.4312542820294518,8.63516349864652,12.359114733462254,0.4312542820294519
