sigma_pS_tube,signature_ok,alpha_ratio_electron,alpha_ratio_muon,alpha_ratio_R64 proton,alpha_ratio_R64 neutron,alpha_ratio_R64 deuteron,alpha_ratio_R64 pp,alpha_ratio_R64 nn,alpha_ratio_π⁰,alpha_ratio_π±,alpha_ratio_K±,alpha_ratio_ρ
-0.22749999999999998,0,0.5070593632370353,0.507059363237035,0.8387603509171865,0.8775678828240503,3.432217676976031,3.355041403668746,3.510271531296201,2.028237452948141,8.112949811792564,4.5859359841048235,4.5859359841048235
-0.22499999999999998,0,0.5042143892441633,0.5042143892441631,0.8893324775249989,0.929560383789649,3.6373408139651895,3.5573299100999956,3.718241535158596,2.0168575569766527,8.06743022790661,4.56042375248146,4.56042375248146
-0.22249999999999998,0,0.5012397098855585,0.5012397098855585,0.9439529982801627,0.9856873821021667,3.858829391031379,3.7758119931206506,3.9427495284086667,2.004958839542234,8.019835358168937,4.53374773548923,4.53374773548923
-0.21999999999999997,0,0.4981268866191004,0.4981268866191004,1.0030347410436182,1.0463691379368572,4.098349556451238,4.012138964174473,4.185476551747429,1.9925075464764015,7.970030185905606,4.5058321618140855,4.5058321618140855
-0.21749999999999997,0,0.49486675555031473,0.49486675555031473,1.0670424825182878,1.112078700828842,4.357776931911478,4.268169930073151,4.448314803315368,1.979467022201259,7.917868088805036,4.476594740866551,4.476594740866551
-0.21499999999999997,0,0.4914493492719264,0.49144934927192585,1.1365008189108674,1.1833498987455995,4.63922833157143,4.54600327564347,4.733399594982398,1.9657973970877045,7.863189588350818,4.445945959440958,4.445945959440958
-0.21249999999999997,0,0.48786380854801814,0.4878638085480179,1.2120034447566748,1.2607867554299172,4.9450991539257085,4.848013779026699,5.043147021719669,1.951455234192072,7.805820936768288,4.413788286844477,4.413788286844477
-0.21000000000000002,0,0.48409828230056284,0.4840982823005626,1.2942241328499067,1.3450746329780254,5.278107626268104,5.176896531399627,5.380298531912102,1.936393129202251,7.745572516809004,4.380015274566053,4.380015274566053
-0.20750000000000002,0,0.4801398140898407,0.4801398140898404,1.3839297782030473,1.4369934675312128,5.64134736334473,5.535719112812189,5.747973870124851,1.920559256359362,7.682237025437451,4.344510534143275,4.344510534143275
-0.20500000000000002,0,0.47597421296331194,0.47597421296331194,1.4819959579447044,1.5374335561239354,6.038350060081219,5.927983831778818,6.149734224495742,1.9038968518532478,7.615587407412991,4.307146574011558,4.307146574011558
-0.2025,0,0.471585906169541,0.471585906169541,1.5894255728726585,1.6474144680393574,6.473160596494952,6.357702291490634,6.58965787215743,1.886343624678164,7.545374498712656,4.267783472690282,4.267783472690282
-0.2,0,0.46695777078260664,0.4669577707826064,1.707371282820346,1.768107802385494,6.950427422504445,6.829485131281384,7.072431209541976,1.8678310831304263,7.471324332521705,4.226267361562695,4.226267361562695
-0.1975,0,0.4620709407433106,0.4620709407433106,1.8371626376370436,1.9008647057217831,7.475511853857831,7.348650550548174,7.6034588228871325,1.8482837629732425,7.39313505189297,4.182428685604032,4.182428685604032
-0.195,0,0.4569045851793553,0.4569045851793553,1.980339052829123,2.047249314022933,8.054620905800428,7.921356211316492,8.188997256091731,1.8276183407174211,7.3104733628696845,4.13608020454725,4.13608020454725
-0.1925,0,0.4514356530973851,0.4514356530973851,2.138690103557241,2.20907961210747,8.694969598064558,8.554760414228964,8.83631844842988,1.8057426123895404,7.2229704495581615,4.087014689960305,4.087014689960305
-0.19,0,0.4456385786229533,0.4456385786229531,2.314305040172646,2.3884776386656164,9.404980393738603,9.257220160690585,9.553910554662465,1.7825543144918126,7.13021725796725,4.035002265331747,4.035002265331747
