name,Z,A,atomic_u,m_obs_MeV,m_pred_MeV,delta_m,delta_m_over_m,B_obs_MeV,B_pred_MeV,B_per_A_obs,B_per_A_pred
174Yb,70,174,173.9388664,161987.25830672026,163207.72966580928,1220.471359089017,0.0075343664177467224,1406.591598559724,186.12023947070702,8.083859761837493,1.0696565486822243
175Lu,71,175,174.9407772,162920.02130912122,164144.42046062063,1224.3991514994123,0.007515338763529018,1412.1006843187497,187.70153281933744,8.069146767535713,1.072580187539071
180Hf,72,180,179.9465594,167582.36690747022,168836.48231569686,1254.115408226644,0.007483576174330427,1446.2888562097796,192.1734479831357,8.03493809005433,1.0676302665729762
181Ta,73,181,180.948003,168514.69471582645,169773.16062646089,1258.4659106344334,0.007467989143360099,1452.2331360135286,193.76722537909518,8.023387491787451,1.070537156790581
184W,74,184,183.9509309,171311.39334571894,172587.53401654784,1276.1406708288996,0.00744924576180146,1472.9374353210442,196.79676449214458,8.005094757179588,1.0695476331094813
187Re,75,187,186.9557501,174109.85371040733,175401.9094699076,1292.0557595002756,0.007420922664430701,1491.8799998326576,199.82424033238203,7.9779679135436234,1.0685788253068558
192Os,76,192,191.9614807,178772.15124366066,180094.01062894793,1321.8593852872727,0.007394101240554079,1526.1162368193618,204.25685153208906,7.948522066767509,1.0638377683962972
193Ir,77,193,192.9629216,179704.4765369828,181030.6661815278,1326.1896445449966,0.007379836440925107,1532.0630316571915,205.8733871121949,7.938150423094256,1.0667014876279528
195Pt,78,195,194.9647917,181568.69572999378,182906.18917533825,1337.493445344473,0.007366321820879441,1545.68134732623,208.18790198175702,7.926571011929385,1.067630266573113
197Au,79,197,196.9665687,183432.82820090378,184781.71399469097,1348.8857937871944,0.007353568099107291,1559.386385096208,210.50059130901354,7.915666929422375,1.0685309203503226
202Hg,80,202,201.9706434,188093.5832730729,189473.81446784968,1380.231194776774,0.007338002555743565,1595.165083167085,214.93388839031104,7.896856847361807,1.0640291504470845
205Tl,81,205,204.974427,190891.0789824688,192288.2004454342,1397.1214629653841,0.007318945811468193,1615.0723029711808,217.95084000579664,7.878401477908199,1.063174829296569
208Pb,82,208,207.9766525,193687.12333090376,195102.58791479803,1415.464583894267,0.00730799528410582,1636.4308837362332,220.96629984196625,7.867456171808813,1.062337980009453
209Bi,83,209,208.9803991,194621.59637017787,196039.23423750332,1417.6378673254512,0.007284072753308676,1640.229932622111,222.5920652966597,7.847990108239765,1.0650338052471757
232Th,90,232,232.0380558,216096.09060920286,217617.73442836438,1521.6438191615161,0.007041514794977573,1766.6870390371187,245.04321987560252,7.615030340677236,1.056220775325873
235U,92,235,235.0439299,218895.02260806988,220429.85318559952,1534.8305775296467,0.007011719861158063,1783.8646370101196,249.03405948047293,7.590913348979233,1.0597194020445657
238U,92,238,238.05078826,221695.89343722214,223246.5322441114,1550.6388068892702,0.006994440820927367,1801.6900694178476,251.05126252857735,7.570126342091797,1.054837237515031
