config,sigma_t,r_fm,E_strong_MeV,E_coulomb_MeV,E_total_MeV
pp (two protons),-116.1,2.618454988773385,-22.039920340582967,0.5499290816854965,-21.48999125889747
pp (two protons),-116.1,2.6534415400770452,-21.827139990653222,0.5426780751194329,-21.28446191553379
pp (two protons),-116.1,2.6888955650540636,-21.61510196201857,0.5355226756015725,-21.079579286416998
pp (two protons),-116.1,2.7248233098655255,-21.403851206799118,0.5284616225196704,-20.875389584279446
pp (two protons),-116.1,2.7612311041307516,-21.193430629551358,0.5214936718830936,-20.671936957668265
pp (two protons),-116.1,2.798125362042433,-20.983881152867525,0.5146175961036579,-20.469263556763867
pp (two protons),-116.1,2.8355125834966506,-20.775241781099794,0.5078321837793583,-20.267409597320437
pp (two protons),-116.1,2.8733993552380097,-20.56754966225526,0.5011362394809471,-20.066413422774314
pp (two protons),-116.1,2.911792352020066,-20.36084014811172,0.4945285835413277,-19.866311564570392
pp (two protons),-116.1,2.950698337781265,-20.155146852605867,0.4880080518477246,-19.667138800758142
pp (two protons),-116.1,2.9901241668365772,-19.950501708534603,0.4815734956365959,-19.468928212898007
pp (two protons),-116.1,3.030076785085077,-19.746935022619027,0.4752237812912466,-19.27171124132778
pp (two protons),-116.1,3.07056323123364,-19.544475528976818,0.4689577901421132,-19.075517738834705
pp (two protons),-116.1,3.111590638036997,-19.343150441040507,0.4627744182696802,-18.880376022770825
pp (two protons),-116.1,3.153166233554363,-19.142985501970543,0.45667257630999497,-18.68631292566055
pp (two protons),-116.1,3.195297342422841,-18.944005033601115,0.45065118926274894,-18.493353844338365
pp (two protons),-116.1,3.2379913871478547,-18.74623198395534,0.4447091963018869,-18.301522787653454
pp (two protons),-116.1,3.2812558894108186,-18.549687973378923,0.438845550588715,-18.110842422790206
pp (two protons),-116.1,3.3250984713942833,-18.35439333931754,0.43305921908747175,-17.921334120230068
pp (two protons),-116.1,3.369526857124777,-18.16036717978409,0.42734918238333275,-17.733017997400758
pp (two protons),-116.1,3.414548873833601,-17.967627395551744,0.4217144345028131,-17.54591296104893
pp (two protons),-116.1,3.460172453335801,-17.776190731099405,0.4161539827365389,-17.360036748362866
pp (two protons),-116.1,3.5064056334275664,-17.586072814354793,0.4106668474643553,-17.175405966890438
pp (two protons),-116.1,3.5532565593023038,-17.397288195262263,0.4052520619827399,-16.992036133279523
pp (two protons),-116.1,3.6007334849856183,-17.20985038320714,0.399908672334494,-16.809941710872646
pp (two protons),-116.1,3.6488447747894854,-17.02377188333321,0.3946357371406765,-16.629136146192536
pp (two protons),-116.1,3.69759890478584,-16.83906423177791,0.389432327434756,-16.449631904343157
pp (two protons),-116.1,3.7470044642998688,-16.655738029860913,0.3842975264989478,-16.271440503361966
pp (two protons),-116.1,3.7970701574232337,-16.473802977250898,0.37923042970271126,-16.094572547548186
pp (two protons),-116.1,3.8478048045475357,-16.293267904142112,0.37423014434337454,-15.919037759798737
pp (two protons),-116.1,3.8992173439182554,-16.114140802465954,0.36929578948886166,-15.744845012977093
pp (two protons),-116.1,3.951316833209467,-15.936428856165548,0.36442649582249254,-15.572002360343056
pp (two protons),-116.1,4.004112451119577,-15.760138470560833,0.35962140548983096,-15.400517065071002
pp (two protons),-116.1,4.057613498988399,-15.585275300826424,0.3548796719475502,-15.230395628878874
pp (two protons),-116.1,4.111829402435831,-15.41184427961116,0.35020045981429226,-15.061643819796867
pp (two protons),-116.1,4.16676971302242,-15.239849643818616,0.3455829447234936,-14.894266699095121
pp (two protons),-116.1,4.2224441099321375,-15.069294960577736,0.3410263131781506,-14.728268647399585
pp (two protons),-116.1,4.278862401677601,-14.900183152421278,0.33652976240750154,-14.563653390013776
pp (two protons),-116.1,4.336034527828115,-14.73251652169779,0.33209250022559694,-14.400424021472192
pp (two protons),-116.1,4.393970560760788,-14.566296774237117,0.3277137448917349,-14.238583029345381
pp (two protons),-116.1,4.452680707435047,-14.401525042291496,0.323392724972737,-14.07813231731876
