config,sigma_aS,sigma_at,sigma_eff,r_fm,V_MeV
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,1.5343684089300125,17.51752033750472
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,1.5702901247293775,16.72837113678247
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,1.6070528182616393,15.974626816533146
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,1.6446761779946635,15.254712449655926
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,1.6831803533309566,14.567122020182524
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,1.7225859653987865,13.910415506952631
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,1.762914118095948,13.283216082142644
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,1.8041864093920728,12.68420742087892
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,1.8464249428955435,12.112131118210755
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,1.8896523396912097,11.565784209792582
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,1.933891750455231,11.04401679268426
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,1.9791668678535574,10.545729742751519
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,2.0255019392306677,10.06987252522913
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,2.072921779595371,9.615441095085089
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,2.12145178491063,9.181475883903204
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,2.1711179456945042,8.767059870091089
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,2.2219468609395236,8.371316729301725
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,2.273965752357929,7.993409062041792
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,2.3272024789604084,7.632536695528415
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,2.381685551976158,7.287935056943525
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,2.4374441501222206,6.958873615318225
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,2.4945081352303164,6.644654389365769
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,2.552908068239518,6.344610518675154
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,2.612675225563328,6.058104895746737
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,2.6738416158399465,5.784528856450152
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,2.7364399970746707,5.523300926555976
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,2.800503894183631,5.273865622080393
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,2.8660676169482517,5.03569230125413
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,2.933166278390044,4.808274066014292
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,3.001835813575589,4.591126710980461
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,3.0721129988617575,4.383787717965106
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,3.1440354715915,4.185815294128361
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,3.217641750250737,3.996787451963428
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,3.2929712550971515,3.8163011293661384
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,3.370064329271928,3.6439713481111085
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,3.448962260405758,3.479430409112865
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,3.52970730273065,3.322327122927618
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,3.612342699709432,3.1723260739945545
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,3.6969127071950285,3.029106917189665
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,3.7834626171319288,2.8923637053119364
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,3.872038781812555,2.7618042461811
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,3.9626886387014784,2.6371494880786486
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,4.05546073584083,2.51813293231271
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,4.150404757850477,2.40450007174195
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,4.247571552536899,2.296007854134814
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,4.347013158125024,2.192424169291826
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,4.448782831127585,2.0935273589002463
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,4.55293507486695,1.999105748133843
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,4.659525668664682,1.9089571980530309
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,4.768611697714469,1.8228886778936157
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,4.880251583654431,1.7407158563826215
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,4.99450511585514,1.6622627112449209
