sigma_pS_tube,sigma_aS,sigma_eff,config,r_fm,V_MeV
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.9493877179275827,45.15379111995276
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.9659672580093832,43.62903794708336
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.9828363332770026,42.155126786563414
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.0,40.73040033510824
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.0174634027476064,39.353252951523245
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.0352317759307383,38.02212919511976
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.053310445370937,36.73552239605942
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.071704829896711,35.491973257551535
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.0904204429677526,34.290068489767464
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.1094628943275218,33.12843947530064
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.1288378916846888,32.005760965953186
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.1485512424239381,30.920749810601592
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.168608855346651,29.872163713848522
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.1890167424419893,28.858800025147502
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.2097810206889013,27.8794945580521
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.2309079138896024,26.93312043921628
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.2524037545350732,26.018586986754826
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.2742749857031335,25.1348386175448
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.2965281629896683,24.280853783035354
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.3191699564735717,23.4556439331177
