sigma_pS_tube,signature_ok,alpha_ratio_electron,alpha_ratio_muon,alpha_ratio_proton,alpha_ratio_neutron,alpha_ratio_Λ,alpha_ratio_Σ⁻,alpha_ratio_π⁰,alpha_ratio_π±,alpha_ratio_K±,alpha_ratio_ρ
0.16249999999999998,0,0.75262409106482,0.7526240910648193,1.9947249426936002,0.6777323596908604,13.721831983979282,4.13024936015952,3.0104963642592786,12.041985457037114,10.024898479579342,10.024898479579342
0.16500000000000004,0,0.7545338701122875,0.7545338701122868,1.985064656383671,0.6530333298593913,13.555965597677714,4.095480322440345,3.018135480449148,12.0725419217966,10.016160923193084,10.016160923193084
0.16749999999999998,0,0.756331581442242,0.7563315814422414,1.9760037890342699,0.6302303222532133,13.400943877642067,4.062925765023593,3.025326325768967,12.101305303075868,10.007949652319908,10.007949652319908
0.17000000000000004,0,0.7580262461780086,0.7580262461780086,1.9674910948441076,0.6091296159633702,13.255791595255932,4.032391400843267,3.0321049847120345,12.128419938848138,10.000221055139358,10.000221055139358
0.1725,0,0.7596259625357161,0.7596259625357155,1.9594809032311113,0.5895618723788246,13.119644648967702,4.0037045992427425,3.0385038501428627,12.154015400571458,9.99293612006137,9.99293612006137
0.17500000000000004,0,0.7611380199385358,0.7611380199385351,1.9519323860897282,0.5713785249306007,12.991734842053466,3.9767114759995654,3.0445520797541414,12.178208319016566,9.986059848849925,9.986059848849925
0.1775,0,0.7625689966677501,0.7625689966677501,1.9448089372702833,0.5544487790299921,12.871377078807072,3.9512744380152687,3.0502759866710005,12.201103946684002,9.97956075712688,9.97956075712688
0.18000000000000005,0,0.7639248437516761,0.7639248437516755,1.9380776447656032,0.5386571069516699,12.75795854470869,3.9272701021717147,3.055699375006703,12.222797500026813,9.973410447460283,9.973410447460283
0.1825,0,0.7652109572991678,0.7652109572991678,1.931708839869466,0.5239011463561644,12.650929522728983,3.904587523699669,3.060843829196671,12.243375316786684,9.967583243035968,9.967583243035968
0.18500000000000005,0,0.7664322410895382,0.7664322410895382,1.9256757105475037,0.5100899296843984,12.549795565644652,3.8831266818331382,3.065728964358153,12.262915857432612,9.96205587212573,9.96205587212573
0.1875,0,0.7675931609134959,0.7675931609134959,1.9199539686192797,0.4971423861030809,12.454110797530056,3.862797180331815,3.0703726436539838,12.281490574615935,9.956807195330295,9.956807195330295
0.19000000000000006,0,0.7686977919036233,0.7686977919036228,1.9145215622297889,0.484986069006289,12.363472159775492,3.843517128242361,3.074791167614492,12.299164670457973,9.951817968990595,9.951817968990595
0.1925,0,0.7697498598851005,0.7697498598851005,1.9093584265947567,0.4735560710111173,12.277514450571669,3.825212172488254,3.078999439540402,12.315997758161608,9.947070639301014,9.947070639301014
0.19500000000000006,0,0.7707527776079347,0.7707527776079347,1.9044462672175662,0.4627940954691345,12.195906033688617,3.8078146588703117,3.083011110431739,12.332044441726955,9.942549162581862,9.942549162581862
0.1975,0,0.771709676583254,0.771709676583254,1.8997683707582602,0.45264765916312855,12.118345114016995,3.7912629020891218,3.086838706333016,12.347354825332063,9.938238847920266,9.938238847920266
0.20000000000000007,0,0.7726234351320638,0.7726234351320632,1.8953094395345047,0.4430694053842149,12.044556494839073,3.7755005486673223,3.090493740528254,12.361974962113017,9.934126219003131,9.934126219003131
0.2025,0,0.7734967031606491,0.7734967031606491,1.8910554462877978,0.43401651022844445,11.97428874601744,3.7604760193114655,3.0939868126425965,12.375947250570386,9.930198892470758,9.930198892470758
0.20499999999999996,0,0.774331924098639,0.7743319240986385,1.8869935063847032,0.4254501678999439,11.907311723897125,3.7461420194315647,3.097327696394555,12.38931078557822,9.92644547053598,9.92644547053598
0.20750000000000002,0,0.7751313543707065,0.7751313543707065,1.8831117650651128,0.41733514320296833,11.843414393233449,3.732455108326534,3.100525417482826,12.402101669931303,9.92285544595852,9.92285544595852
0.20999999999999996,0,0.7758970807185497,0.7758970807185497,1.8793992977156508,0.4096393813599486,11.78240290929254,3.7193753190215144,3.1035883228741987,12.414353291496795,9.91941911775078,9.91941911775078
0.21250000000000002,0,0.7766310356442302,0.7766310356442302,1.875846021450471,0.4023336668942171,11.724098924747137,3.706865821967061,3.1065241425769208,12.426096570307683,9.916127516230532,9.916127516230532
0.21499999999999997,0,0.7773350112076379,0.7773350112076379,1.8724426165354682,0.39539132463367815,11.668338091363978,3.6948926268284668,3.1093400448305517,12.437360179322207,9.912972336236088,9.912972336236088
0.21750000000000003,0,0.7780106713785208,0.7780106713785208,1.8691804564042547,0.3887879569795511,11.61496873095339,3.6834243174433596,3.112042685514083,12.448170742056332,9.909945877487948,9.909945877487948
0.21999999999999997,0,0.7786595631161326,0.7786595631161326,1.8660515451926025,0.3825012124859554,11.56385065379217,3.6724318157375553,3.1146382524645304,12.458553009858122,9.907040991222665,9.907040991222665
0.22250000000000003,0,0.7792831263263256,0.7792831263263249,1.8630484618683671,0.37651058154587863,11.514854105866949,3.6618881709875644,3.1171325053053005,12.468530021221202,9.904251032344755,9.904251032344755
0.22499999999999998,0,0.7798827028261031,0.7798827028261023,1.86016431016093,0.3707972156047677,11.467858828924179,3.6517683713225657,3.1195308113044105,12.478123245217649,9.90156981644402,9.90156981644402
0.22750000000000004,0,0.7804595444287666,0.780459544428766,1.857392673601964,0.36534376684677894,11.422753219540388,3.6420491747854724,3.1218381777150657,12.487352710860263,9.898991581112584,9.898991581112584
0.22999999999999998,0,0.7810148202483157,0.781014820248315,1.8547275750809125,0.36013424573861424,11.379433575312095,3.6327089576347618,3.124059280993261,12.496237123973044,9.896510951069441,9.896510951069441
0.23250000000000004,0,0.7815496233093151,0.7815496233093151,1.8521634403967138,0.35515389418641696,11.337803417865858,3.623727577876653,3.1261984932372604,12.504793972949042,9.894122906663956,9.894122906663956
0.235,0,0.782064976537787,0.782064976537787,1.8496950653541446,0.35038907237424904,11.297772883752847,3.6150862522802196,3.128259906151148,12.513039624604591,9.891822755383501,9.891822755383501
0.23750000000000004,0,0.7825618381994176,0.7825618381994176,1.8473175860104105,0.3458271576178778,11.259258175456129,3.6067674453527245,3.1302473527976704,12.520989411190682,9.889606106037402,9.889606106037402
0.24,0,0.7830411068434355,0.783041106843435,1.845026451726927,0.34145645379293815,11.22218106573642,3.5987547689455126,3.132164427373741,12.528657709494968,9.887468845329614,9.887468845329614
0.24250000000000005,0,0.783503625803556,0.783503625803556,1.8428174007236349,0.33726611008843016,11.186468449396962,3.5910328913265057,3.134014503214224,12.536058012856897,9.885407116566906,9.885407116566906
0.245,0,0.783950187301417,0.7839501873014163,1.8406864378698797,0.3332460480004305,11.152051937285126,3.583587454698504,3.135800749205666,12.543202996822664,9.883417300279834,9.883417300279834
