name,Z,A,B_obs,B_magic,B_refit,E_Coulomb,B_obs_nonCoulomb,ratio_magic,ratio_refit,ratio_refit_nonC
51V,23,51,445.8472413921627,56.17708108410443,437.5456303589235,96.8765818291576,542.7238232213203,0.1260007371778076,0.9813801448960022,0.8062031030108188
52Cr,24,52,456.3506352457407,57.493226605547534,447.80362131460424,105.00169551648288,561.3523307622236,0.12598476295445046,0.9812709498551833,0.7977229215501093
55Mn,25,55,482.07533379753295,60.66588457996113,472.51017762563424,112.018229098428,594.093562895961,0.12584316252413824,0.9801583787816948,0.7953464018737084
56Fe,26,56,492.2595698268051,61.96681634768902,482.64920688132406,120.62639894111439,612.8859687679195,0.12588240055849237,0.9804770419214759,0.7875024580046929
59Co,27,59,517.3138907029715,65.14930930847913,507.43266757187666,128.02991494360174,645.3438056465733,0.12593767629156163,0.9808989796936104,0.7862981919590555
60Ni,28,60,526.8462951041874,66.43714526471013,517.4692935990242,137.1080836438545,663.954378748042,0.12610346866266134,0.98220163719039,0.7793747735721974
63Cu,29,63,551.3846800269166,69.62837972362468,542.3211096198793,144.8885929199266,696.2732729468432,0.1262791336897965,0.9835621649723839,0.7788911777765203
64Zn,30,64,559.0981558943386,70.90482472863368,552.2686619043161,154.425,713.5231558943385,0.12681999391540413,0.987784803226371,0.7740024375412118
70Ge,32,70,610.5194405059374,77.28287811046175,601.9377673632043,170.8981419055646,781.4175824115019,0.12658545000044133,0.9859436529398287,0.7703151054082863
75As,33,75,652.5660506127024,82.21245866340178,640.3142013339093,177.78775493163133,830.3538055443337,0.12598335231538857,0.9812251200207401,0.7711341804643804
80Se,34,80,696.8655630406429,86.97037900100986,677.348595777119,184.87912483163063,881.7446878722735,0.12480223390797335,0.971993210313959,0.7681912974283066
84Kr,36,84,732.2660601957905,91.51488333710586,712.748602040243,204.2690010992624,936.5350612950529,0.12497490777141435,0.9733464935540929,0.7610484983388075
88Sr,38,88,768.4689463707618,96.05071859798045,748.0808439008688,224.43096595897492,992.8999123297367,0.12498972021133438,0.9734691914797863,0.7534302648346243
89Y,39,89,775.5455131456401,97.4717968521145,759.1592448223964,235.6730289128052,1011.2185420584453,0.12568159469682885,0.9788713002067662,0.7507370694341158
