sigma_aS,signature_ok,alpha_ratio_electron,alpha_ratio_muon,alpha_ratio_proton,alpha_ratio_neutron,alpha_ratio_Λ,alpha_ratio_Σ⁻,alpha_ratio_π⁰,alpha_ratio_π±,alpha_ratio_K±,alpha_ratio_ρ
-0.3125,1,4.557823146727464,4.557823146727454,4.557823146727461,4.55782314672744,4.557823146727496,4.557823146727481,18.231292586909834,72.92517034763935,41.02040832054716,41.02040832054716
-0.31,1,4.397426854060706,4.397426854060695,4.397426854060726,4.397426854060644,4.3974268540607895,4.397426854060726,17.589707416242803,70.35882966497124,39.576841686546366,39.576841686546366
-0.3075,1,4.2465341491050905,4.2465341491050905,4.246534149105096,4.246534149105098,4.24653414910507,4.246534149105069,16.986136596420362,67.94454638568145,38.21880734194581,38.21880734194581
-0.305,1,4.104401743470935,4.104401743470935,4.104401743470932,4.104401743470934,4.104401743470941,4.1044017434709446,16.41760697388374,65.67042789553496,36.939615691238416,36.939615691238416
-0.3025,1,3.9703582156454735,3.970358215645476,3.9703582156454806,3.970358215645465,3.9703582156454886,3.9703582156454753,15.881432862581901,63.525731450327605,35.73322394080928,35.73322394080928
-0.3,1,3.843795805920179,3.843795805920176,3.843795805920176,3.843795805920191,3.843795805920156,3.843795805920166,15.375183223680711,61.500732894722844,34.594162253281574,34.594162253281574
-0.2975,1,3.724163285559121,3.7241632855591273,3.7241632855591296,3.7241632855591202,3.7241632855591256,3.724163285559116,14.896653142236499,59.586612568945995,33.517469570032105,33.517469570032105
-0.295,1,3.6109597423054116,3.6109597423054227,3.610959742305407,3.610959742305407,3.6109597423054396,3.6109597423054427,14.44383896922167,57.77535587688666,32.49863768074874,32.49863768074874
-0.2925,1,3.503729149970669,3.503729149970669,3.503729149970678,3.503729149970659,3.503729149970681,3.5037291499706646,14.014916599882676,56.059666399530705,31.533562349736027,31.533562349736027
-0.29000000000000004,1,3.4020556109531994,3.4020556109531968,3.402055610953201,3.4020556109531968,3.4020556109531994,3.402055610953196,13.608222443812792,54.43288977525119,30.618500498578786,30.618500498578786
-0.2875,1,3.305559177955994,3.305559177955994,3.3055591779559994,3.305559177955985,3.305559177956006,3.305559177955996,13.222236711823976,52.888946847295905,29.750032601603948,29.750032601603948
-0.28500000000000003,1,3.2138921756174574,3.2138921756174574,3.213892175617459,3.213892175617451,3.21389217561747,3.213892175617464,12.85556870246983,51.42227480987932,28.925029580557137,28.925029580557137
-0.2825,1,3.126735954778279,3.126735954778278,3.1267359547782845,3.126735954778261,3.1267359547783076,3.1267359547782907,12.506943819113111,50.027775276452445,28.14062359300452,28.14062359300452
-0.28,1,3.043798022130239,3.043798022130239,3.04379802213025,3.04379802213021,3.0437980221302894,3.04379802213026,12.175192088520957,48.70076835408383,27.394182199172178,27.394182199172178
-0.27749999999999997,1,2.964809496382634,2.964809496382634,2.9648094963826415,2.9648094963826193,2.9648094963826592,2.96480949638264,11.859237985530536,47.43695194212214,26.68328546744372,26.68328546744372
